"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Department of the Treasury","Agency Overall","2024","2683","2126","491","1085","157","747","55","247","2956","303","1766","71","12687"
"Department of Homeland Security","Agency Overall","2024","39712","365330","18055","294914","25644","6549","118","2359","80912","28303","31550","1493","894939"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","4","4","1","19","0","1","0","18","0","0","0","0","47"
"United States International Trade Commission","Agency Overall","2024","3","31","13","111","5","4","0","2","4","0","0","0","173"
"Environmental Protection Agency","Agency Overall","2024","2154","981","71","1087","7","501","49","237","991","60","964","32","7134"
"Marine Mammal Commission","Agency Overall","2024","13","2","0","52","1","0","0","2","0","0","0","0","70"
"Department of Labor","Agency Overall","2024","1973","4601","1777","3245","280","873","401","379","303","226","798","0","14856"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","1","0","0","0","0","0","0","0","0","0","0","0","1"
"United States Postal Service","Agency Overall","2024","454","707","636","652","542","102","44","89","558","304","108","7","4203"
"Occupational Safety and Health Review Commission","Agency Overall","2024","26","27","1","39","0","141","0","0","0","0","0","1","235"
"Tennessee Valley Authority","Agency Overall","2024","57","80","7","38","1","4","49","3","0","1","24","0","264"
"Farm Credit Administration","Agency Overall","2024","21","18","0","30","0","0","4","2","0","0","0","0","75"
"National Railroad Passenger Corporation","Agency Overall","2024","274","178","111","118","17","76","4","50","11","9","62","0","910"
"Office of Personnel Management","Agency Overall","2024","103","122","20","85","9","73","8","30","76","146","111","0","783"
"National Endowment for the Humanities","Agency Overall","2024","8","30","1","15","0","1","0","1","6","0","0","0","62"
"Legal Services Corporation","Agency Overall","2024","7","9","1","37","0","2","0","0","0","0","0","0","56"
"Inter-American Foundation","Agency Overall","2024","4","6","0","27","0","0","0","10","0","0","1","0","48"
"Federal Election Commission","Agency Overall","2024","107","58","17","130","0","2","0","2","0","2","0","0","318"
"Denali Commission","Agency Overall","2024","34","0","0","0","0","0","0","0","0","0","0","0","34"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0","0","15","0","0","0","0","0","0","0","0","15"
"Consumer Product Safety Commission","Agency Overall","2024","136","168","89","154","26","15","1","20","22","42","14","14","701"
"Presidio Trust","Agency Overall","2024","5","10","0","14","0","16","0","0","0","0","0","1","46"
"Postal Regulatory Commission","Agency Overall","2024","13","4","0","89","2","0","1","0","0","0","0","107","216"
"U.S. Department of State","Agency Overall","2024","379","5459","1503","2796","64","4452","1","327","1978","306","3510","0","20775"
"Federal Housing Finance Agency","Agency Overall","2024","25","54","1","72","0","1","0","4","2","0","1","0","160"
"Small Business Administration","Agency Overall","2024","2758","814","52","295","2","353","8","2654","36","15","105","0","7092"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","31","20","0","36","0","5","0","1","3","0","2","0","98"
"Office of Government Ethics","Agency Overall","2024","31","34","2","63","0","2","0","0","0","0","1","0","133"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","5","4","1","30","0","8","0","2","0","0","1","0","51"
"National Transportation Safety Board","Agency Overall","2024","23","67","154","189","1","19","0","5","75","0","28","0","561"
"Department of Veterans Affairs","Agency Overall","2024","3562","100073","3991","1486","250","416","325","2292","1466","159","1406","4027","119453"
"United States Institute of Peace","Agency Overall","2024","11","2","1","0","1","0","0","5","1","0","0","0","21"
"National Mediation Board","Agency Overall","2024","15","3","5","42","0","0","0","3","0","0","0","0","68"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","14","24","2","70","0","10","0","88","0","0","23","30","261"
"National Archives and Records Administration","Agency Overall","2024","1082","14401","42","1767","569","214","30","313","552","30","434","4459","23893"
"Department of Education","Agency Overall","2024","338","1415","108","333","6","403","10","94","0","330","81","1","3119"
"National Endowment for the Arts","Agency Overall","2024","7","32","2","99","0","0","0","6","7","1","1","0","155"
