"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Energy","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal and Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, At *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","4"
"Consumer Financial Protection Bureau","Agency Overall","2024","12 U.S.C. § 2803(j)(2)(B)(i) ","N/A","Certain information about home mortgage loans and applications","1"
"Consumer Financial Protection Bureau","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2))","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att’ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012). ","Confidential financial disclosure report pertaining to certain government employees","3"
"Federal Labor Relations Authority","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5  U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","2"
"Federal Labor Relations Authority","Agency Overall","2024","18 § U.S.C. 208(d)(1)","Seife v. NIH, 874 F. Supp. 2d 248, 256 (S.D.N.Y. 2012). ","Providing that “a copy of any determination granting an exemption under subsection (b)(1) or (b)(3) [from application of penalties for acts affecting personal financial interests determined to constitute 
bribery, graft, or conflicts of interest] shall be made available to the public,” but exempting from this disclosure requirement “any information contained in the determination that would be exempt from disclosure under section 552 of title 5” ","1"
"U.S. Election Assistance Commission","Agency Overall","2024","N/A","N/A","N/A","0"
"Federal Communications Commission","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- 00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004). ","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Federal Deposit Insurance Corporation","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names of employees who provide information or complaints to the Inspector General","7"
"Federal Deposit Insurance Corporation","Agency Overall","2024","12 U.S.C. § 3109(c)(2)","N/A","Confidential information received by a federal banking agency from a foreign regulatory or supervisory authority","2"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","N/A","N/A","N/A","0"
"National Credit Union Administration","Agency Overall","2024","N/A","N/A","N/A","0"
"National Science Foundation","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- 00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Millennium Challenge Corporation","Agency Overall","2024","N/A","N/A","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2024","N/A","N/A","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","N/A","N/A","N/A","0"
"United States Trade and Development Agency","Agency Overall","2024","41 U.S.C. § 2102  (amending 41 U.S.C. §  423(a)(1)) ","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep’t of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information ","1"
"Selective Service System","Agency Overall","2024","N/A","N/A","N/A","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","10 U.S.C. § 3309(b) (formerly at 10 U.S.C. § 2305(g))","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09- -00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","2"
"Nuclear Regulatory Commission","Agency Overall","2024","16 U.S.C. § 824o-1(d)","FOIA-2023-000205","Information pertaining to Critical Electric Infrastructure Security","1"
"Federal Reserve System","Agency Overall","2024","12 U.S.C. § 248(s)(6)","N/A","Information concerning the borrowers and counterparties participating in emergency credit facilities, discount window lending programs, and open market operations authorized or conducted by the Board of Governors of the Federal Reserve System or a Federal reserve bank","6"
"Federal Reserve System","Agency Overall","2024","31 U.S.C. § 5319","N/A","Reports pertaining to monetary instruments transactions filed under subchapter 11 of chapter 53 of title 31 and records of those reports","1"
"Federal Reserve System","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"National Labor Relations Board","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"U.S. Agency for International Development","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS
35233, at *13-15 (S.D. Ohio Mar. 15, 2012);
Margolin v. NASA, No. 09-CV-00421, 2011 WL
1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel
v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30
(D.D.C. 2003), summary affirmance granted, No.
03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25,
2004)","Contractor proposals that are in the possession or control of an executive
agency and that have not been set forth or incorporated by reference into
contracts
","7"
"U.S. Agency for International Development","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1)","Legal & Safety Employe Research, Inc. v. U.S.
Dept. of the Army, No. Civ. S001748, 2001 WL
34098652, at * 3-4 (E.D. Cal. May 4, 2001)
(dictum). ","Contractor bid or proposal information; source selection information","7"
"U.S. Agency for International Development","Agency Overall","2024","6 U.S.C. § 673(a)(1) (formerly at 6 U.S.C. § 133(a)(1))","N/A","Protection of voluntarily shared critical infrastructure information","30"
"Department of Transportation","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names of employees who provide information or complaints to the Inspector General","3"
"Department of Transportation","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- 00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03- 5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","6"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 30172(f)","N/A","Information that could identify a whistleblower","3"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 40119","N/A","Certain information obtained or developed in ensuring transportation security if disclosure of that information would: constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","160"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 40115(a)","N/A","Information harmful to U.S. position in international aviation negotiations, or harmful to any U.S. international air carrier","5"
"Department of Transportation","Agency Overall","2024","51 U.S.C. § 50916 (formerly at 49 U.S.C. § 70114)","N/A","Commercial space launch activity information exempted under 5 U.S.C. § 552(b)(4) or designated as confidential by the submitter or head of the executive agency providing the information","13"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 40110(e)","N/A","Contract proposal not incorporated into the contract","9"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 40123(a)","N/A","Aviation Safety Action Program voluntarily submitted information","42"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 44114","N/A","Registration numbers and other similar identifiable data or information of private aircraft owners or operators","13"
"Department of Transportation","Agency Overall","2024","10 U.S.C. § 130e","Newport Aeronautical Sales v. Dep’t of the Air Force, 684 F.3d 160, 167-68 (D.C. Cir. 2012); Chenkin v. Dep’t of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (M.D. Pa. Jan. 14, 1994), aff’d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).
","DOD Critical Infrastructure Security information","28"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 44735","N/A","Certain report, data, or other safety information submitted to the FAA","2"
"Department of Transportation","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep’t of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).
","Contractor bid or proposal information; source selection information","5"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 31143(b)","N/A","Identities of motor carrier safety complainants","496"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 20109","N/A","Information identifying railroad employee whistleblowers","1"
"Department of Transportation","Agency Overall","2024","49 U.S.C. § 30305(c)(1)","N/A","National Driver Register information on certain individuals","4"
"Department of Transportation","Agency Overall","2024","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","1"
"Department of Transportation","Agency Overall","2024","26 U.S.C. §§ 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’t of Treasury, 590 F. App’x.
141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App’x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).
","Certain tax return information, information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","1"
"Social Security Advisory Board","Agency Overall","2024","N/A","N/A","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2024","N/A","N/A","N/A","0"
"Federal Maritime Commission","Agency Overall","2024","46 U.S.C. § 40306","N/A","Agreement information and documents (other than an Agreement) filed with the Federal Maritime Commission","3"
"Federal Maritime Commission","Agency Overall","2024","5 U.S.C. § 13109(a)(2)","N/A","Confidential financial disclosure report pertaining to certain government employees
","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","N/A","N/A","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","N/A","N/A","N/A","0"
"Department of Defense","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names of employees who provide information or complaints to the Inspector General","9"
"Department of Defense","Agency Overall","2024","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","3"
"Department of Defense","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app. § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","2"
"Department of Defense","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2))","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att'ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","187"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 128","N/A","Unclassified special nuclear weapons information","8"
"Department of Defense","Agency Overall","2024","10 USC § 2640(h)","N/A","Safety-related information voluntarily provided by an air carrier","10"
"Department of Defense","Agency Overall","2024","10 U.S.C § 130(a)","Newport Aeronautical Sales v. Dep't of the Air Force, 684 F.3d 160, 165 (D.C. Cir. 2012); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).","Certain “technical data with military or space application in the possession of, or under the control of, the Department of Defense”","201"
"Department of Defense","Agency Overall","2024","10 U.S.C § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O’Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).","Personally identifiable information pertaining to “any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit” and “any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit”","1454"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 130c","ACLU v. DOD, 389 F. Supp. 2d 547, 554 (S.D.N.Y. 2005); Nat’l Inst. of Military Justice v. DOD, 404 F. Supp. 2d 325, 335-37 (D.D.C. 2005), aff’d on other grounds, 512 F.3d 677 (D.C. Cir. 2008); Gerstein v. DOD, No. 03-5193, slip op. at 8 (N.D. Ca. Dec. 21, 2004).","Certain “sensitive information of foreign governments” and certain international organizations","34"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 130d","N/A","Confidential information shared with State and local personnel","9"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 130e","N/A","DOD Critical Infrastructure Security information","57"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 424","Hamdan v. DOJ, 797 F.3d 759, 776 (9th Cir. 2015); Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of an organization, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial Intelligence Agency","317"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 455","N/A","Maps, charts, and geodetic data","8"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 613a(a)","N/A","Proceedings from selection and Special Selection Boards for Active Duty Officers and Warrant Officers","3"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 1102(f)","Goodrich v. Dep't of the Air Force, 404 F. Supp. 2d 48, 50-51 (D.D.C. 2005); Dayton Newspapers, Inc. v. Dep't of the Air Force, 107 F. Supp. 2d 912, 917 (S.D. Ohio 1999).","Medical quality assurance records created by or for the Department of Defense as part of a medical quality assurance program","19"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 4021 (formerly at 10 U.S.C. § 2371(i))","N/A","Research projects: transactions other than contracts and grants","8"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 3309 (formerly at 10 U.S.C § 2305(g))","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","108"
"Department of Defense","Agency Overall","2024","10 U.S.C. § 14104(a)","N/A","Proceedings from selection and special selection boards for reserve officers","1"
"Department of Defense","Agency Overall","2024","15 U.S.C. §§ 57b-2(f)","A. Michael's Piano, Inc. v. FTC, 18 F.3d 138, 143-44 (2d Cir. 1994) (15 U.S.C. § 57b-2); Nat'l Educ. Ass'n v. FTC, No. 79-959-S, 1983 WL 1883, at *1 (D. Mass. Sept. 26, 1983) (15 U.S.C. § 57b-2).","Certain investigative materials received by the FTC and ""provided pursuant to any compulsory process under this subchapter or which is provided voluntarily in place of such compulsory process""","4"
"Department of Defense","Agency Overall","2024","16 U.S.C. § 470hh","Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Starkey v. U.S. Dep’t of the Interior, 238 F. Supp. 2d 1188, 1193-94 (S.D. Cal. 2002).","Information pertaining to the nature and location of certain archaeological resources","52"
"Department of Defense","Agency Overall","2024","18 U.S.C. § 798","Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); N.Y. Times Co. v. DOJ, No. 14-03776, 2016 WL 5946711, at *6 (S.D.N.Y. Aug. 18, 2016); Adejumobi v. NSA, No. 07-1237, 2007 WL 4247878, at *3 (M.D. Fla. Dec. 3, 2007), aff’d per curiam, 287 F. App’x 770 (11th Cir. 2008); Winter v. NSA, 569 F. Supp. 545, 546-48 (S.D. Cal. 1983).","Certain classified information pertaining to the communication intelligence and cryptographic devices of the United States or any foreign government","513"
"Department of Defense","Agency Overall","2024","18 U.S.C. §§ 2510, et seq.","Payne v. DOJ, No. 96-30840, 1997 WL 450139, at *3 (5th Cir. July 11, 1997); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","81"
"Department of Defense","Agency Overall","2024","18 U.S.C. § 3509(d)","Corley v. DOJ, 998 F.3d 981, 982-85 (D.C. Cir. 2021).","Certain records containing identifying information pertaining to children involved in criminal proceedings","342"
"Department of Defense","Agency Overall","2024","20 U.S.C. § 1099c-1","Bagwell v. U.S. Dep’t of Educ., 183 F. Supp. 3d 109, 126-27 (D.D.C. 2016).","Certain program review reports and institutional responses until the Department of Education issues a final program review determination.","1"
"Department of Defense","Agency Overall","2024","22 U.S.C. § 2778(e)","Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).","Certain information pertaining to export license applications","7"
"Department of Defense","Agency Overall","2024","26 U.S.C. § 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’of Treasury, 590 F. App’x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App’x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","5"
"Department of Defense","Agency Overall","2024","31 U.S.C. § 5319","Unes v. DOJ, 263 F. Supp. 3d 82, 87 (D.D.C. 2017)); Council on Am.-Islamic Rels., Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), affd on other grounds, 288 F. App’x 829 (3d Cir. 2008).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","1"
"Department of Defense","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","41"
"Department of Defense","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","44"
"Department of Defense","Agency Overall","2024","42 U.S.C. § 262a(h)(1)","Civ. Beat L. Ctr. for the Pub. Int. v. CDC, 929 F.3d 1079, 1084-85 (9th Cir. 2019).","Certain categories of information relating to biological agents and toxins","1"
"Department of Defense","Agency Overall","2024","42 U.S.C. §§ 2162, 2167, 2168(a)(1)","Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","“Restricted Data” pertaining to atomic weapons and special nuclear material and certain safeguards information for nuclear material","30"
"Department of Defense","Agency Overall","2024","50 U.S.C. § 3024(i)(1) (formerly at 50 U.S.C. § 403-1(i)(1))","CIA v. Sims, 471 U.S. 159, 167 (1985).","Intelligence sources and methods","911"
"Department of Defense","Agency Overall","2024","50 U.S.C. § 3144 (formerly at 50 U.S.C. § 432b)","N/A","Operational files of the National Security Agency","1"
"Department of Defense","Agency Overall","2024","50 U.S.C. § 3507 (formerly at 50 U.S.C. § 403g)","Assassination Archives & Research Ctr. v. CIA, No. 18-5280, 2019 WL 691517 (D.C. Cir. Feb. 15, 2019) (per curiam); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff’d on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: “the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency”","82"
"Department of Defense","Agency Overall","2024","50 U.S.C. § 3605 (formerly at 50 U.S.C. § 402 note","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009).","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","780"
"Department of Defense","Agency Overall","2024","50 U.S.C. § 4565(c)(1)","Minor v. U.S. Dep’t of the Treasury, No. 20-02836, slip op. at 5 (D.S.C. Aug. 5, 2021) (unpublished disposition).","Information or documentary material filed with the Committee on Foreign Investment in the United States","3"
"Department of Defense","Agency Overall","2024","50 U.S.C. § 4820(h)(1) (formerly at 50 U.S.C. § 4614(c)(1))","Wis. Project on Nuclear Arms Control v. U.S. Dep't of Com., 317 F.3d 275, 284 (D.C. Cir. 2003); Times Publ'g Co. v. U.S. Dep't of Com., 236 F.3d 1286, 1289-90 (11th Cir. 2001); Lessner v. U.S. Dep't of Com., 827 F.2d 1333, 1336-37 (9th Cir. 1987).","Information pertaining to license applications under the Export Administration Act","2"
"Department of Defense","Agency Overall","2024","54 U.S.C. § 307103 (formerly at 16 U.S.C. § 470w-3)","N/A","Information about the location, character, or ownership of a historic property","19"
"Department of Defense","Agency Overall","2024","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977. Pub. L. No. 95-78, § 2, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 2018) (per curium); Widi v. McNeil, No. 12-CV-00188, 2016 WL 4394724, at *23 (D. Me. Aug 16, 2016); Durham v. U.S. Att'y Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","11"
"Department of Defense","Agency Overall","2024","Pub. L. No. 95-452, 92 Stat. 1101","N/A","Identities of employees that have submitted complaints and or provided information during the course of an OIG investigation","22"
"Federal Mediation and Conciliation Service","Agency Overall","2024","N/A","N/A","N/A","0"
"Advisory Council on Historic Preservation","Agency Overall","2024","N/A","N/A","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","N/A","N/A","N/A","0"
"Securities and Exchange Commission","Agency Overall","2024","15 U.S.C. § 80a-30(c)","N/A","Information regarding investment company examination","1"
"Securities and Exchange Commission","Agency Overall","2024","15 U.S.C. § 78x(d)","N/A","Foreign Securities Authorities","11"
"Securities and Exchange Commission","Agency Overall","2024","15 U.S.C. § 78u-6","N/A","Information that could identify a whistleblower","10"
"Securities and Exchange Commission","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- 00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Securities and Exchange Commission","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names of employees who provide information or complaints to the Inspector General","1"
"Securities and Exchange Commission","Agency Overall","2024","15 U.S.C. § 77f(e)(2)","N/A","Certain information contained in or filed with a securities registration statement","1"
"Securities and Exchange Commission","Agency Overall","2024","31 U.S.C. § 5319","Yunes v. DOJ, 263 F. Supp. 3d 82. 87 (D.D.C. 2017); Council on Am.-Islamic Rels., Cal. V. FBI. 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff’d on other grounds, 288 F. App’x 829 (3d Cir. 2008).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","2"
"Securities and Exchange Commission","Agency Overall","2024","15 U.S.C. § 80b-4","N/A","Reports by investment adviser","2"
"Securities and Exchange Commission","Agency Overall","2024","5 U.S.C. 13109(a)(2) (formerly at 5 U.S.C. app. § 107(a)(2))","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att’ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain governmental employees","1"
