"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","197","138","61","261"
"National Archives and Records Administration","Agency Overall","2024","62505","22590","66064","23893"
"Department of Education","Agency Overall","2024","2816","4560","2385","3119"
"National Endowment for the Arts","Agency Overall","2024","62","180","50","155"
"National Council on Disability","Agency Overall","2024","8","64","5","23"
"National Aeronautics and Space Administration","Agency Overall","2024","1005","1560","1003","1459"
"Export-Import Bank of the U.S.","Agency Overall","2024","108","165","94","159"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","50","130","39","69"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","48","110","37","52"
"Farm Credit System Insurance Corporation","Agency Overall","2024","30","51","24","53"
"United States International Boundary and Water Commission","Agency Overall","2024","51","79","26","25"
"Office of Management and Budget","Agency Overall","2024","315","994","362","493"
"National Capital Planning Commission","Agency Overall","2024","26","41","26","41"
"Central Intelligence Agency","Agency Overall","2024","2426","4087","1567","2603"
"Merit Systems Protection Board","Agency Overall","2024","221","219","167","184"
"Council on Environmental Quality","Agency Overall","2024","122","420","132","348"
"Commodity Futures Trading Commission","Agency Overall","2024","290","443","291","430"
"National Indian Gaming Commission","Agency Overall","2024","55","74","45","83"
"United States African Development Foundation","Agency Overall","2024","0","40","0","7"
"Office of the United States Trade Representative","Agency Overall","2024","66","136","62","112"
"Social Security Administration","Agency Overall","2024","10130","12582","10305","11354"
"Armed Forces Retirement Home","Agency Overall","2024","12","35","12","36"
"General Services Administration","Agency Overall","2024","1723","1661","1510","1632"
"Department of the Interior","Agency Overall","2024","7085","8305","7388","8426"
"Peace Corps","Agency Overall","2024","265","320","301","331"
"Department of Agriculture","Agency Overall","2024","16605","24722","16242","21113"
"U.S. Agency for Global Media","Agency Overall","2024","120","173","178","191"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","12","60","13","52"
"U.S. Railroad Retirement Board","Agency Overall","2024","80","124","74","121"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","99","123","76","116"
"U.S. International Development Finance Corporation","Agency Overall","2024","50","81","30","45"
"All agencies","Agency Overall","2024","1207153","1501432","1122823","1499265"
