"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0.10","0.10"
"Consumer Product Safety Commission","Agency Overall","2024","4","0.75","4.75"
"Presidio Trust","Agency Overall","2024","0","0.25","0.25"
"Postal Regulatory Commission","Agency Overall","2024","0","2.00","2.00"
"U.S. Department of State","Agency Overall","2024","142","122.00","264.00"
"Federal Housing Finance Agency","Agency Overall","2024","1","1.40","2.40"
"Small Business Administration","Agency Overall","2024","18","172.68","190.68"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","0","1.00","1.00"
"Office of Government Ethics","Agency Overall","2024","0","2.40","2.40"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","0","1.00","1.00"
"National Transportation Safety Board","Agency Overall","2024","5","1.00","6.00"
"Department of Veterans Affairs","Agency Overall","2024","54","313.38","367.38"
"United States Institute of Peace","Agency Overall","2024","0","0.10","0.10"
"National Mediation Board","Agency Overall","2024","0","1.00","1.00"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","0","0.45","0.45"
"National Archives and Records Administration","Agency Overall","2024","21","22.45","43.45"
"Department of Education","Agency Overall","2024","38","71.61","109.61"
"National Endowment for the Arts","Agency Overall","2024","0","1.10","1.10"
"National Council on Disability","Agency Overall","2024","0","0.40","0.40"
"National Aeronautics and Space Administration","Agency Overall","2024","6","4.90","10.90"
"Export-Import Bank of the U.S.","Agency Overall","2024","4","0.60","4.60"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","0","0.50","0.50"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","1","1.00","2.00"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","0.25","0.25"
"United States International Boundary and Water Commission","Agency Overall","2024","0","0.75","0.75"
"Office of Management and Budget","Agency Overall","2024","6","5.00","11.00"
"National Capital Planning Commission","Agency Overall","2024","0","0.01","0.01"
"Central Intelligence Agency","Agency Overall","2024","35","15.73","50.73"
"Merit Systems Protection Board","Agency Overall","2024","1","1.21","2.21"
"Council on Environmental Quality","Agency Overall","2024","3","1.55","4.55"
"Commodity Futures Trading Commission","Agency Overall","2024","3","0.50","3.50"
"National Indian Gaming Commission","Agency Overall","2024","1","0.00","1.00"
"United States African Development Foundation","Agency Overall","2024","0","2.00","2.00"
"Office of the United States Trade Representative","Agency Overall","2024","0","0.90","0.90"
"Social Security Administration","Agency Overall","2024","11","21.00","32.00"
"Armed Forces Retirement Home","Agency Overall","2024","1","0.00","1.00"
"General Services Administration","Agency Overall","2024","12","8.35","20.35"
"Department of the Interior","Agency Overall","2024","86","46.90","132.90"
"Peace Corps","Agency Overall","2024","0","11.50","11.50"
"Department of Agriculture","Agency Overall","2024","91","155.46","246.46"
"U.S. Agency for Global Media","Agency Overall","2024","0","1.50","1.50"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","0.50","0.50"
"U.S. Railroad Retirement Board","Agency Overall","2024","0","0.84","0.84"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","1","0.30","1.30"
"U.S. International Development Finance Corporation","Agency Overall","2024","1","1.20","2.20"
"All agencies","Agency Overall","2024","3520","2108.46","5628.46"
