"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"National Endowment for the Humanities","Agency Overall","2024","44.5","44.5","24","65"
"Legal Services Corporation","Agency Overall","2024","36","36","36","36"
"Inter-American Foundation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2024","15","15","15","15"
"Denali Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2024","19","20.2","8","60"
"Presidio Trust","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2024","6","150","1","2434"
"Federal Housing Finance Agency","Agency Overall","2024","20","20","20","20"
"Small Business Administration","Agency Overall","2024","14","19","3","35"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2024","11","11","11","11"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","31","31","31","31"
"National Transportation Safety Board","Agency Overall","2024","12","10.5","<1","23"
"Department of Veterans Affairs","Agency Overall","2024","59.00","142.10","<1","801"
"United States Institute of Peace","Agency Overall","2024","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2024","140","356","4","1744"
"Department of Education","Agency Overall","2024","21.00","189.23","<1","750"
"National Endowment for the Arts","Agency Overall","2024","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2024","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2024","50.5","65.2","13","185"
"Export-Import Bank of the U.S.","Agency Overall","2024","25","25","25","25"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","21","17","10","21"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2024","13.5","13.5","6","21"
"Office of Management and Budget","Agency Overall","2024","136","120","16","210"
"National Capital Planning Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2024","688.50","838.08","54","2766"
"Merit Systems Protection Board","Agency Overall","2024","48.00","42.96","9","137"
"Council on Environmental Quality","Agency Overall","2024","31.5","52.5","23","124"
"Commodity Futures Trading Commission","Agency Overall","2024","22","22","22","22"
"National Indian Gaming Commission","Agency Overall","2024","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2024","20","20","19","21"
"Social Security Administration","Agency Overall","2024","4","17","<1","349"
"Armed Forces Retirement Home","Agency Overall","2024","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2024","38.5","102.26","3","754"
"Department of the Interior","Agency Overall","2024","24.5","181.65","<1","1622"
"Peace Corps","Agency Overall","2024","31","31","7","55"
"Department of Agriculture","Agency Overall","2024","91","307.72","1","1327"
"U.S. Agency for Global Media","Agency Overall","2024","38","38","25","51"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","54","54","54","54"
"U.S. Railroad Retirement Board","Agency Overall","2024","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","23","23","23","23"
"U.S. International Development Finance Corporation","Agency Overall","2024","16","16","16","16"
