"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","0","4","16","8","359","0","0","5","0","0","0","0","0"
"United States Access Board","Agency Overall","2024","0","0","1","1","0","4","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2024","3","93","1573","138","469","1156","259","2","614","9","711","3","16","0"
"Department of Homeland Security","Agency Overall","2024","11","616","61440","456","58594","294575","397","7","437455","77","335399","133","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","0","0","0","1","1","2","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2024","0","2","6","7","13","39","1","0","2","0","3","0","0","0"
"Environmental Protection Agency","Agency Overall","2024","1","6","38","259","417","724","106","3","109","2","25","4","0","78"
"Marine Mammal Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2024","6","33","7","2515","1893","1539","1681","17","3848","1881","433","9","1","1"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2024","0","23","776","45","96","1191","58","2","390","52","137","8","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2024","0","0","1","2","1","28","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2024","0","2","4","13","33","55","0","0","2","0","0","7","0","0"
"Farm Credit Administration","Agency Overall","2024","0","0","0","0","5","14","0","0","2","0","0","0","3","0"
"National Railroad Passenger Corporation","Agency Overall","2024","2","39","14","103","47","172","10","0","41","0","4","3","0","0"
"Office of Personnel Management","Agency Overall","2024","0","8","0","10","16","125","0","0","4","0","1","0","0","0"
"National Endowment for the Humanities","Agency Overall","2024","0","0","0","26","7","30","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2024","0","0","2","2","5","4","2","0","4","0","2","0","0","0"
"Inter-American Foundation","Agency Overall","2024","0","0","0","2","0","3","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2024","0","0","1","0","46","5","12","0","12","0","25","1","0","0"
"Denali Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
