Agency,Number of Full Grants,Number of Partial Grants/Partial Denials,Number of Full Denials Based on Exemptions,No Records,Total,Denial_Rate,Full_Grant_Rate
Federal Mine Safety and Health Review Commission,31,20,0,36,98,0.0,0.3163265306122449
Office of Government Ethics,31,34,2,63,133,0.015037593984962405,0.23308270676691728
Office of the Special Inspector General for Afghanistan Reconstruction,5,4,1,30,51,0.0196078431372549,0.09803921568627451
National Transportation Safety Board,23,67,154,189,561,0.27450980392156865,0.040998217468805706
Department of Veterans Affairs,3562,100073,3991,1486,119453,0.033410630122307515,0.029819259457694657
United States Institute of Peace,11,2,1,0,21,0.047619047619047616,0.5238095238095238
National Mediation Board,15,3,5,42,68,0.07352941176470588,0.22058823529411764
Chemical Safety and Hazard Investigation Board,14,24,2,70,261,0.007662835249042145,0.05363984674329502
National Archives and Records Administration,1082,14401,42,1767,23893,0.0017578370233959737,0.045285229983677226
Department of Education,338,1415,108,333,3119,0.03462648284706637,0.10836806668804104
National Endowment for the Arts,7,32,2,99,155,0.012903225806451613,0.04516129032258064
National Council on Disability,6,4,0,12,23,0.0,0.2608695652173913
National Aeronautics and Space Administration,122,247,45,207,1459,0.030843043180260453,0.08361891706648389
Export-Import Bank of the U.S.,27,32,9,76,159,0.05660377358490566,0.16981132075471697
Privacy and Civil Liberties Oversight Board,3,10,1,12,69,0.014492753623188406,0.043478260869565216
Defense Nuclear Facilities Safety Board,2,3,0,11,52,0.0,0.038461538461538464
Farm Credit System Insurance Corporation,12,10,0,31,53,0.0,0.22641509433962265
United States International Boundary and Water Commission,8,6,0,11,25,0.0,0.32
Office of Management and Budget,86,67,4,187,493,0.008113590263691683,0.1744421906693712
National Capital Planning Commission,5,2,0,34,41,0.0,0.12195121951219512
Central Intelligence Agency,136,79,767,440,2603,0.2946600076834422,0.052247406838263545
Merit Systems Protection Board,47,44,3,33,184,0.016304347826086956,0.2554347826086957
Council on Environmental Quality,22,19,2,63,348,0.005747126436781609,0.06321839080459771
Commodity Futures Trading Commission,42,53,20,51,430,0.046511627906976744,0.09767441860465116
National Indian Gaming Commission,19,11,1,50,83,0.012048192771084338,0.2289156626506024
United States African Development Foundation,1,0,0,6,7,0.0,0.14285714285714285
Office of the United States Trade Representative,21,59,2,28,112,0.017857142857142856,0.1875
Social Security Administration,5470,2083,1970,1111,11354,0.17350713404967413,0.481768539721684
Armed Forces Retirement Home,18,4,14,0,36,0.3888888888888889,0.5
General Services Administration,204,343,13,356,1632,0.007965686274509803,0.125
Department of the Interior,1665,1659,196,1701,8426,0.023261333966294803,0.19760265843816757
Peace Corps,22,71,4,187,331,0.012084592145015106,0.06646525679758308
Department of Agriculture,12803,2440,163,2730,21113,0.007720361862359684,0.6064036375692701
U.S. Agency for Global Media,28,58,4,89,191,0.020942408376963352,0.14659685863874344
Federal Permitting Improvement Steering Council,5,11,0,31,52,0.0,0.09615384615384616
U.S. Railroad Retirement Board,29,5,19,64,121,0.15702479338842976,0.2396694214876033
Federal Retirement Thrift Investment Board,32,20,2,26,116,0.017241379310344827,0.27586206896551724
U.S. International Development Finance Corporation,5,27,0,7,45,0.0,0.1111111111111111
