Agency,Component,Fiscal Year,Processing Costs,Litigation-Related Costs,Total Costs,Total Amount of Fees Collected,Percentage of Total Costs
Armed Forces Retirement Home,Agency Overall,2024,23500.0,0.0,23500.0,0.0,0.0
General Services Administration,Agency Overall,2024,2173655.5,0.0,2173655.5,38863.75,1.79
Department of the Interior,Agency Overall,2024,17427312.0,993531.0,18420843.0,12256.0,0.07
Peace Corps,Agency Overall,2024,1085990.0,0.0,1085990.0,0.0,0.0
Department of Agriculture,Agency Overall,2024,21386060.64,1991248.35,23377308.99,16575.05,0.08
U.S. Agency for Global Media,Agency Overall,2024,224696.0,0.0,224696.0,0.0,0.0
Federal Permitting Improvement Steering Council,Agency Overall,2024,124500.0,0.0,124500.0,0.0,0.0
U.S. Railroad Retirement Board,Agency Overall,2024,147967.26,0.0,147967.26,0.0,0.0
Federal Retirement Thrift Investment Board,Agency Overall,2024,119037.0,0.0,119037.0,0.0,0.0
U.S. International Development Finance Corporation,Agency Overall,2024,312456.0,0.0,312456.0,0.0,0.0
