Agency,Component,Fiscal Year,"Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
Institute of Museum and Library Services,Agency Overall,2018,0,0.25,0.25
Tennessee Valley Authority,Agency Overall,2018,1,0.5,1.5
Council on Environmental Quality,Agency Overall,2018,0,1.5,1.5
Department of Transportation,Agency Overall,2018,43,58.26,101.26
National Endowment for the Arts,Agency Overall,2018,0,1.5,1.5
Federal Open Market Committee,Agency Overall,2018,0,0.4,0.4
Consumer Product Safety Commission,Agency Overall,2018,7,5.0,12.0
Department of Defense,Agency Overall,2018,517,436.7,953.7
Millennium Challenge Corporation,Agency Overall,2018,0,2.5,2.5
American Battle Monuments Commission,Agency Overall,2018,0,0.1,0.1
Social Security Advisory Board,Agency Overall,2018,0,0.05,0.05
Federal Election Commission,Agency Overall,2018,0,1.87,1.87
Federal Financial Institutions Examination Council,Agency Overall,2019,0,0.1,0.1
Surface Transportation Board,Agency Overall,2019,0,0.35,0.35
Commodity Futures Trading Commission,Agency Overall,2019,2,1.0,3.0
Social Security Advisory Board,Agency Overall,2019,0,0.05,0.05
Federal Retirement Thrift Investment Board,Agency Overall,2019,1,0.0,1.0
Office of Management and Budget,Agency Overall,2019,4,3.5,7.5
Environmental Protection Agency,Agency Overall,2019,94,137.0,231.0
Federal Housing Finance Agency,Agency Overall,2019,0,2.45,2.45
Consumer Product Safety Commission,Agency Overall,2019,5,1.0,6.0
U.S. Interagency Council on Homelessness,Agency Overall,2019,0,0.02,0.02
Office of National Drug Control Policy,Agency Overall,2019,0,0.7,0.7
Farm Credit System Insurance Corporation,Agency Overall,2019,0,0.0,0.0
National Endowment for the Arts,Agency Overall,2019,0,1.5,1.5
National Mediation Board,Agency Overall,2019,0,1.0,1.0
U.S. Agency for International Development,Agency Overall,2019,17,8.9,25.9
U.S. Election Assistance Commission,Agency Overall,2019,1,0.0,1.0
Occupational Safety and Health Review Commission,Agency Overall,2019,0,1.67,1.67
United States International Trade Commission,Agency Overall,2019,0,4.0,4.0
Social Security Administration,Agency Overall,2019,3,32.0,35.0
Department of Labor,Agency Overall,2019,50,129.05,179.05
Federal Mine Safety and Health Review Commission,Agency Overall,2019,0,1.0,1.0
Department of Defense,Agency Overall,2019,514,505.13,1019.13
Department of Justice,Agency Overall,2019,414,64.53,478.53
Office of the Director of National Intelligence,Agency Overall,2019,11,1.0,12.0
Court Services and Offender Supervision Agency,Agency Overall,2019,2,0.0,2.0
Department of the Treasury,Agency Overall,2019,47,81.81,128.81
U.S. Commission on Civil Rights,Agency Overall,2019,0,2.0,2.0
United States Postal Service,Agency Overall,2019,19,29.0,48.0
Department of the Interior,Agency Overall,2019,89,64.19,153.19
American Battle Monuments Commission,Agency Overall,2019,0,0.1,0.1
National Aeronautics and Space Administration,Agency Overall,2019,7,4.75,11.75
Office of Special Counsel,Agency Overall,2019,5,8.0,13.0
Federal Maritime Commission,Agency Overall,2019,1,0.43,1.43
Privacy and Civil Liberties Oversight Board,Agency Overall,2019,0,0.5,0.5
Department of Agriculture,Agency Overall,2019,89,157.15,246.15
Farm Credit Administration,Agency Overall,2019,0,2.0,2.0
U.S. Department of State,Agency Overall,2019,141,66.68,207.68
