Agency,Component,Fiscal Year,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
Federal Labor Relations Authority,Agency Overall,2018,5,57,62,0
National Science Foundation,Agency Overall,2018,278,329,349,258
Federal Energy Regulatory Commission,Agency Overall,2018,30,129,111,48
Federal Trade Commission,Agency Overall,2018,57,1441,1459,39
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2018,5,27,30,2
Marine Mammal Commission,Agency Overall,2018,2,7,8,1
Office of Special Counsel,Agency Overall,2018,222,189,282,129
United States Postal Service,Agency Overall,2018,160,3150,3116,194
Equal Employment Opportunity Commission,Agency Overall,2018,3719,19065,19134,3650
Chemical Safety and Hazard Investigation Board,Agency Overall,2018,32,49,48,33
Department of the Interior,Agency Overall,2018,2306,8402,7001,3707
Federal Mine Safety and Health Review Commission,Agency Overall,2018,5,65,68,2
Denali Commission,Agency Overall,2018,0,4,4,0
National Archives and Records Administration,Agency Overall,2018,3286,52850,53101,3035
United States Copyright Office,Agency Overall,2018,9,41,44,6
Social Security Administration,Agency Overall,2018,728,16427,16631,524
National Transportation Safety Board,Agency Overall,2018,927,521,549,899
Administrative Conference of the United States,Agency Overall,2018,0,19,19,0
National Credit Union Administration,Agency Overall,2018,8,165,154,19
Surface Transportation Board,Agency Overall,2018,0,42,41,1
Institute of Museum and Library Services,Agency Overall,2018,8,33,26,15
Tennessee Valley Authority,Agency Overall,2018,16,222,212,26
Council on Environmental Quality,Agency Overall,2018,42,167,156,53
Department of Transportation,Agency Overall,2018,5459,15049,16082,4426
National Endowment for the Arts,Agency Overall,2018,5,71,76,0
Federal Open Market Committee,Agency Overall,2018,1,12,13,0
Consumer Product Safety Commission,Agency Overall,2018,259,554,440,373
Department of Defense,Agency Overall,2018,14194,57032,54323,16903
Millennium Challenge Corporation,Agency Overall,2018,2,23,22,3
American Battle Monuments Commission,Agency Overall,2018,2,16,18,0
Social Security Advisory Board,Agency Overall,2018,0,3,3,0
Federal Election Commission,Agency Overall,2018,72,164,163,73
Federal Financial Institutions Examination Council,Agency Overall,2019,0,11,11,0
Surface Transportation Board,Agency Overall,2019,1,33,34,0
