Agency,Component,Fiscal Year,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
Department of Transportation,Agency Overall,2021,5572,15740,14754,6558
Presidio Trust,Agency Overall,2021,1,24,23,2
Environmental Protection Agency,Agency Overall,2021,2358,6485,6943,1900
National Mediation Board,Agency Overall,2021,0,20,19,1
American Battle Monuments Commission,Agency Overall,2021,0,19,19,0
National Transportation Safety Board,Agency Overall,2021,296,453,584,165
Federal Deposit Insurance Corporation,Agency Overall,2021,34,312,295,51
Federal Communications Commission,Agency Overall,2021,52,534,537,49
Small Business Administration,Agency Overall,2021,1595,18127,15238,4484
Department of Commerce,Agency Overall,2021,1169,2274,2195,1248
Office of National Drug Control Policy,Agency Overall,2021,26,44,46,24
Consumer Financial Protection Bureau,Agency Overall,2021,137,255,366,26
Peace Corps,Agency Overall,2021,87,112,132,67
Office of Navajo and Hopi Indian Relocation,Agency Overall,2021,0,17,17,0
National Science Foundation,Agency Overall,2021,368,293,257,404
Department of Agriculture,Agency Overall,2021,6857,20956,21815,5998
Department of Labor,Agency Overall,2021,2620,13560,14022,2158
Commodity Futures Trading Commission,Agency Overall,2021,9,157,144,22
United States Institute of Peace,Agency Overall,2021,4,7,8,3
Department of the Treasury,Agency Overall,2021,2872,10820,10755,2937
Chemical Safety and Hazard Investigation Board,Agency Overall,2021,31,179,134,76
Nuclear Regulatory Commission,Agency Overall,2021,92,239,229,102
Federal Maritime Commission,Agency Overall,2021,2,30,27,5
Neighborhood Reinvestment Corporation,Agency Overall,2021,0,3,3,0
Merit Systems Protection Board,Agency Overall,2021,55,172,171,56
National Archives and Records Administration,Agency Overall,2021,3511,7725,6867,4369
Securities and Exchange Commission,Agency Overall,2021,641,12363,12171,833
Federal Reserve System,Agency Overall,2021,53,637,654,36
Federal Election Commission,Agency Overall,2021,18,100,110,8
Office of Management and Budget,Agency Overall,2021,668,280,278,670
United States Trade and Development Agency,Agency Overall,2021,45,19,10,54
U.S. Nuclear Waste Technical Review Board,Agency Overall,2021,0,5,5,0
United States Access Board,Agency Overall,2021,1,8,8,1
Federal Trade Commission,Agency Overall,2021,38,1385,1375,48
National Indian Gaming Commission,Agency Overall,2021,4,30,30,4
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2021,0,1,1,0
Department of Defense,Agency Overall,2021,22283,52805,50703,24385
Tennessee Valley Authority,Agency Overall,2021,36,213,215,34
Export-Import Bank of the U.S.,Agency Overall,2021,21,64,55,30
Department of Homeland Security,Agency Overall,2021,83594,442650,467347,58897
Defense Nuclear Facilities Safety Board,Agency Overall,2021,0,19,18,1
Department of Veterans Affairs,Agency Overall,2022,4108,22542,24343,2307
Central Intelligence Agency,Agency Overall,2022,2855,2408,2095,3168
Commission of Fine Arts,Agency Overall,2022,0,17,17,0
National Science Foundation,Agency Overall,2022,404,302,202,504
Department of Justice,Agency Overall,2022,59858,93370,82868,70360
Federal Maritime Commission,Agency Overall,2022,5,45,38,12
Advisory Council on Historic Preservation,Agency Overall,2022,6,36,37,5
General Services Administration,Agency Overall,2022,509,1168,1360,317
Occupational Safety and Health Review Commission,Agency Overall,2022,1,94,92,3
Federal Retirement Thrift Investment Board,Agency Overall,2022,5,45,47,3
Office of Science and Technology Policy,Agency Overall,2022,131,104,65,170
United States Trade and Development Agency,Agency Overall,2022,45,21,16,50
National Aeronautics and Space Administration,Agency Overall,2022,68,993,982,79
Court Services and Offender Supervision Agency,Agency Overall,2022,0,290,279,11
Federal Mediation and Conciliation Service,Agency Overall,2022,1,56,53,4
Marine Mammal Commission,Agency Overall,2022,6,9,10,5
Appraisal Subcommittee,Agency Overall,2022,0,16,16,0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2022,0,8,8,0
Office of Management and Budget,Agency Overall,2022,670,263,323,610
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2022,0,3,3,0
Chemical Safety and Hazard Investigation Board,Agency Overall,2022,74,337,294,117
Federal Housing Finance Agency,Agency Overall,2022,21,89,73,37
United States Postal Service,Agency Overall,2022,354,3894,3986,262
Department of the Interior,Agency Overall,2022,5184,6407,6182,5409
Tennessee Valley Authority,Agency Overall,2022,34,211,217,28
Harry S. Truman Scholarship Foundation,Agency Overall,2022,0,4,4,0
Millennium Challenge Corporation,Agency Overall,2022,2,21,23,0
Privacy and Civil Liberties Oversight Board,Agency Overall,2022,11,41,39,13
Presidio Trust,Agency Overall,2022,2,9,9,2
Export-Import Bank of the U.S.,Agency Overall,2022,30,84,90,24
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2022,30,2,2,30
U.S. Department of State,Agency Overall,2022,16284,13864,9167,20981
Farm Credit Administration,Agency Overall,2022,0,37,37,0
U.S. Commission on Civil Rights,Agency Overall,2022,0,60,60,0
Social Security Administration,Agency Overall,2022,686,11762,11811,637
National Indian Gaming Commission,Agency Overall,2022,4,48,49,3
United States African Development Foundation,Agency Overall,2022,0,1,0,1
National Credit Union Administration,Agency Overall,2022,9,112,115,6
AmeriCorps,Agency Overall,2022,10,44,48,6
U.S. Election Assistance Commission,Agency Overall,2022,88,195,72,211
Federal Deposit Insurance Corporation,Agency Overall,2022,45,494,502,37
Office of National Drug Control Policy,Agency Overall,2022,24,50,65,9
Office of Navajo and Hopi Indian Relocation,Agency Overall,2022,0,15,15,0
Council on Environmental Quality,Agency Overall,2022,42,127,124,45
Merit Systems Protection Board,Agency Overall,2022,56,138,130,64
Office of Special Counsel,Agency Overall,2022,13,138,140,11
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2022,4,17,21,0
Peace Corps,Agency Overall,2022,67,200,156,111
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2022,40,77,83,34
Gulf Coast Ecosystem Restoration Council,Agency Overall,2022,0,5,5,0
Federal Trade Commission,Agency Overall,2022,48,1619,1579,88
Department of Labor,Agency Overall,2022,2158,14491,14335,2314
Federal Communications Commission,Agency Overall,2022,50,523,508,65
James Madison Memorial Fellowship Foundation,Agency Overall,2022,0,4,4,0
Nuclear Regulatory Commission,Agency Overall,2022,103,207,219,91
U.S. Interagency Council on Homelessness,Agency Overall,2022,0,10,10,0
United States International Trade Commission,Agency Overall,2022,8,68,60,16
Institute of Museum and Library Services,Agency Overall,2022,1,30,31,0
National Labor Relations Board,Agency Overall,2022,72,1963,1940,95
Denali Commission,Agency Overall,2022,0,7,7,0
Federal Reserve System,Agency Overall,2022,38,666,658,46
Inter-American Foundation,Agency Overall,2022,1,8,9,0
Neighborhood Reinvestment Corporation,Agency Overall,2022,0,9,7,2
National Transportation Safety Board,Agency Overall,2022,165,518,500,183
Federal Financial Institutions Examination Council,Agency Overall,2022,1,12,10,3
National Archives and Records Administration,Agency Overall,2022,9971,14975,14977,9969
Selective Service System,Agency Overall,2022,0,48,48,0
United States Copyright Office,Agency Overall,2022,7,54,57,4
Department of Transportation,Agency Overall,2022,6537,19090,18958,6669
Office of the Director of National Intelligence,Agency Overall,2022,500,499,429,570
Social Security Advisory Board,Agency Overall,2022,0,10,10,0
National Capital Planning Commission,Agency Overall,2022,0,6,6,0
Pension Benefit Guaranty Corporation,Agency Overall,2022,223,3727,3877,73
Department of Agriculture,Agency Overall,2022,2503,17069,17166,2406
Farm Credit System Insurance Corporation,Agency Overall,2022,0,18,18,0
Department of Housing and Urban Development,Agency Overall,2022,1014,1819,2031,802
Department of Energy,Agency Overall,2022,793,1722,1511,1004
Department of Health and Human Services,Agency Overall,2022,12009,38462,37241,13230
Office of Personnel Management,Agency Overall,2022,208,456,508,156
Defense Nuclear Facilities Safety Board,Agency Overall,2022,1,26,25,2
National Council on Disability,Agency Overall,2022,0,16,16,0
Small Business Administration,Agency Overall,2022,4484,7844,10828,1500
Armed Forces Retirement Home,Agency Overall,2022,0,8,7,1
Office of the United States Trade Representative,Agency Overall,2022,9,67,73,3
Consumer Product Safety Commission,Agency Overall,2022,576,459,521,514
Department of Defense,Agency Overall,2022,23461,54004,52222,25243
Federal Election Commission,Agency Overall,2022,8,114,118,4
Equal Employment Opportunity Commission,Agency Overall,2022,1275,14040,13263,2052
Federal Open Market Committee,Agency Overall,2022,0,31,31,0
Environmental Protection Agency,Agency Overall,2022,1939,6636,6630,1945
U.S. Railroad Retirement Board,Agency Overall,2022,3,63,64,2
Administrative Conference of the United States,Agency Overall,2022,0,27,27,0
Commodity Futures Trading Commission,Agency Overall,2022,23,185,202,6
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2022,2,0,2,0
Postal Regulatory Commission,Agency Overall,2022,1,45,46,0
United States Access Board,Agency Overall,2022,1,10,11,0
Department of Education,Agency Overall,2022,819,2372,1462,1729
Federal Permitting Improvement Steering Council,Agency Overall,2022,0,4,3,1
National Mediation Board,Agency Overall,2022,0,20,19,1
U.S. International Development Finance Corporation,Agency Overall,2022,73,40,44,69
United States Institute of Peace,Agency Overall,2022,3,4,5,2
Securities and Exchange Commission,Agency Overall,2022,833,10000,9856,977
American Battle Monuments Commission,Agency Overall,2022,0,29,29,0
United States International Boundary and Water Commission,Agency Overall,2022,38,30,31,37
National Endowment for the Humanities,Agency Overall,2022,5,48,50,3
Federal Energy Regulatory Commission,Agency Overall,2022,55,103,84,74
Legal Services Corporation,Agency Overall,2022,4,27,29,2
Consumer Financial Protection Bureau,Agency Overall,2022,24,437,380,81
Department of Commerce,Agency Overall,2022,1134,1768,1774,1128
U.S. Agency for International Development,Agency Overall,2022,431,326,330,427
Surface Transportation Board,Agency Overall,2022,5,90,89,6
Department of the Treasury,Agency Overall,2022,2879,10594,10431,3042
National Endowment for the Arts,Agency Overall,2022,1,40,41,0
Department of Homeland Security,Agency Overall,2022,68062,539807,506036,101833
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2022,0,0,0,0
Office of Government Ethics,Agency Overall,2022,12,120,125,7
Federal Mine Safety and Health Review Commission,Agency Overall,2022,2,52,52,2
National Railroad Passenger Corporation,Agency Overall,2022,276,246,164,358
Federal Labor Relations Authority,Agency Overall,2022,4,166,136,34
Federal Reserve System,Agency Overall,2023,52,772,739,85
Federal Mediation and Conciliation Service,Agency Overall,2023,4,46,49,1
Commodity Futures Trading Commission,Agency Overall,2023,6,290,291,5
Consumer Product Safety Commission,Agency Overall,2023,517,601,844,274
Administrative Conference of the United States,Agency Overall,2023,0,43,43,0
Farm Credit Administration,Agency Overall,2023,0,58,48,10
Nuclear Regulatory Commission,Agency Overall,2023,91,236,207,120
National Transportation Safety Board,Agency Overall,2023,183,558,601,140
Department of Veterans Affairs,Agency Overall,2023,2427,79590,72403,9614
Department of Homeland Security,Agency Overall,2023,104434,674856,580205,199085
Office of Management and Budget,Agency Overall,2023,610,315,362,563
Social Security Administration,Agency Overall,2023,637,10130,10305,462
U.S. Election Assistance Commission,Agency Overall,2023,211,50,91,170
Office of Personnel Management,Agency Overall,2023,153,581,586,148
National Indian Gaming Commission,Agency Overall,2023,3,55,45,13
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2023,0,46,26,20
Peace Corps,Agency Overall,2023,110,265,301,74
Court Services and Offender Supervision Agency,Agency Overall,2023,11,354,342,23
Office of National Drug Control Policy,Agency Overall,2023,9,40,36,13
Department of Energy,Agency Overall,2023,1011,2156,1790,1377
National Endowment for the Humanities,Agency Overall,2023,3,38,30,11
National Railroad Passenger Corporation,Agency Overall,2023,361,364,550,175
Occupational Safety and Health Review Commission,Agency Overall,2023,3,150,137,16
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2023,3,51,46,8
Institute of Museum and Library Services,Agency Overall,2023,0,41,41,0
National Science Foundation,Agency Overall,2023,503,339,158,684
Department of Commerce,Agency Overall,2023,1133,2241,2093,1281
Department of Defense,Agency Overall,2023,25357,60109,55731,29735
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2023,0,20,19,1
Department of the Interior,Agency Overall,2023,5261,7085,7388,4958
National Archives and Records Administration,Agency Overall,2023,9969,62505,66064,6410
Department of Labor,Agency Overall,2023,2325,14282,14219,2388
U.S. Interagency Council on Homelessness,Agency Overall,2023,0,7,1,6
Office of Navajo and Hopi Indian Relocation,Agency Overall,2023,0,28,27,1
Office of Science and Technology Policy,Agency Overall,2023,157,64,45,176
Advisory Council on Historic Preservation,Agency Overall,2023,12,27,12,27
U.S. International Development Finance Corporation,Agency Overall,2023,69,50,30,89
Office of Special Counsel,Agency Overall,2023,11,118,103,26
Federal Open Market Committee,Agency Overall,2023,0,29,20,9
Department of Agriculture,Agency Overall,2023,2387,16605,16242,2750
Environmental Protection Agency,Agency Overall,2023,1956,6588,6777,1767
Millennium Challenge Corporation,Agency Overall,2023,0,54,46,8
Appraisal Subcommittee,Agency Overall,2023,0,34,29,5
Federal Maritime Commission,Agency Overall,2023,12,42,39,15
Farm Credit System Insurance Corporation,Agency Overall,2023,0,30,24,6
General Services Administration,Agency Overall,2023,327,1723,1510,540
Federal Financial Institutions Examination Council,Agency Overall,2023,3,25,18,10
Defense Nuclear Facilities Safety Board,Agency Overall,2023,2,48,37,13
Neighborhood Reinvestment Corporation,Agency Overall,2023,2,29,16,15
Inter-American Foundation,Agency Overall,2023,0,23,19,4
Export-Import Bank of the U.S.,Agency Overall,2023,24,108,94,38
Office of the United States Trade Representative,Agency Overall,2023,3,66,62,7
Central Intelligence Agency,Agency Overall,2023,3162,2426,1567,4021
U.S. Department of State,Agency Overall,2023,20982,15713,12576,24119
Federal Election Commission,Agency Overall,2023,3,92,88,7
United States Trade and Development Agency,Agency Overall,2023,55,39,80,14
Merit Systems Protection Board,Agency Overall,2023,64,221,167,118
U.S. Nuclear Waste Technical Review Board,Agency Overall,2023,0,13,6,7
Federal Retirement Thrift Investment Board,Agency Overall,2023,3,99,76,26
Legal Services Corporation,Agency Overall,2023,2,29,22,9
AmeriCorps,Agency Overall,2023,6,58,49,15
United States Postal Service,Agency Overall,2023,266,4168,4104,330
Chemical Safety and Hazard Investigation Board,Agency Overall,2023,112,197,61,248
Privacy and Civil Liberties Oversight Board,Agency Overall,2023,13,50,39,24
National Credit Union Administration,Agency Overall,2023,6,159,153,12
National Council on Disability,Agency Overall,2023,0,8,5,3
Council on Environmental Quality,Agency Overall,2023,45,122,132,35
Federal Permitting Improvement Steering Council,Agency Overall,2023,1,12,13,0
Surface Transportation Board,Agency Overall,2023,6,116,109,13
Social Security Advisory Board,Agency Overall,2023,0,21,19,2
Selective Service System,Agency Overall,2023,0,49,49,0
American Battle Monuments Commission,Agency Overall,2023,0,27,27,0
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2023,0,26,18,8
United States Institute of Peace,Agency Overall,2023,2,18,3,17
United States International Boundary and Water Commission,Agency Overall,2023,31,51,26,56
United States Copyright Office,Agency Overall,2023,7,47,40,14
U.S. Railroad Retirement Board,Agency Overall,2023,2,80,74,8
National Labor Relations Board,Agency Overall,2023,95,2198,2236,57
National Capital Planning Commission,Agency Overall,2023,0,26,26,0
U.S. Commission on Civil Rights,Agency Overall,2023,0,58,50,8
Federal Deposit Insurance Corporation,Agency Overall,2023,37,826,685,178
United States International Trade Commission,Agency Overall,2023,16,32,27,21
Equal Employment Opportunity Commission,Agency Overall,2023,508,15929,14703,1734
Department of Transportation,Agency Overall,2023,6657,17136,16458,7335
Department of Justice,Agency Overall,2023,83369,110934,144065,50238
National Aeronautics and Space Administration,Agency Overall,2023,79,1005,1003,81
United States African Development Foundation,Agency Overall,2023,0,0,0,0
Denali Commission,Agency Overall,2023,0,18,18,0
Pension Benefit Guaranty Corporation,Agency Overall,2023,73,2682,2643,112
Postal Regulatory Commission,Agency Overall,2023,0,91,80,11
National Mediation Board,Agency Overall,2023,1,31,29,3
U.S. Agency for International Development,Agency Overall,2023,428,338,334,432
Department of Health and Human Services,Agency Overall,2023,13461,46530,47038,12953
Harry S. Truman Scholarship Foundation,Agency Overall,2023,0,27,27,0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2023,0,12,12,0
Federal Mine Safety and Health Review Commission,Agency Overall,2023,2,63,54,11
Department of Education,Agency Overall,2023,1730,2816,2385,2161
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2023,34,130,108,56
Department of Housing and Urban Development,Agency Overall,2023,802,1909,1932,779
Tennessee Valley Authority,Agency Overall,2023,28,206,177,57
Department of the Treasury,Agency Overall,2023,3036,10782,10550,3268
Marine Mammal Commission,Agency Overall,2023,5,56,34,27
Securities and Exchange Commission,Agency Overall,2023,977,9481,9022,1436
Federal Trade Commission,Agency Overall,2023,88,1820,1812,96
Consumer Financial Protection Bureau,Agency Overall,2023,81,510,537,54
James Madison Memorial Fellowship Foundation,Agency Overall,2023,0,18,4,14
Office of the National Cyber Director,Agency Overall,2023,0,6,6,0
Armed Forces Retirement Home,Agency Overall,2023,1,12,12,1
United States Access Board,Agency Overall,2023,0,20,19,1
National Endowment for the Arts,Agency Overall,2023,0,62,50,12
Commission of Fine Arts,Agency Overall,2023,0,25,25,0
Office of the Director of National Intelligence,Agency Overall,2023,570,386,269,687
Federal Communications Commission,Agency Overall,2023,65,586,535,116
Federal Energy Regulatory Commission,Agency Overall,2023,74,138,94,118
Federal Labor Relations Authority,Agency Overall,2023,31,222,158,95
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2023,0,26,26,0
Small Business Administration,Agency Overall,2023,956,4381,4133,1204
U.S. Agency for Global Media,Agency Overall,2023,85,120,178,27
Presidio Trust,Agency Overall,2023,0,16,16,0
Federal Housing Finance Agency,Agency Overall,2023,36,117,84,69
Office of Government Ethics,Agency Overall,2023,7,112,113,6
AmeriCorps,Agency Overall,2024,15,98,75,38
Department of Justice,Agency Overall,2024,51572,132527,157180,26919
American Battle Monuments Commission,Agency Overall,2024,0,38,38,0
Federal Energy Regulatory Commission,Agency Overall,2024,107,130,157,80
Office of Special Counsel,Agency Overall,2024,26,243,170,99
Commission of Fine Arts,Agency Overall,2024,8,91,91,8
United States Copyright Office,Agency Overall,2024,7,79,72,14
Office of Science and Technology Policy,Agency Overall,2024,176,212,178,210
Federal Open Market Committee,Agency Overall,2024,9,90,64,35
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2024,8,96,20,84
U.S. Commission on Civil Rights,Agency Overall,2024,8,140,84,64
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2024,56,207,100,163
Office of the National Cyber Director,Agency Overall,2024,0,378,155,223
Department of Health and Human Services,Agency Overall,2024,13249,51800,49271,15778
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2024,1,73,56,18
Surface Transportation Board,Agency Overall,2024,13,89,99,3
Department of Energy,Agency Overall,2024,1380,4283,3250,2413
Consumer Financial Protection Bureau,Agency Overall,2024,65,964,834,195
Federal Labor Relations Authority,Agency Overall,2024,46,158,204,0
U.S. Election Assistance Commission,Agency Overall,2024,189,98,42,245
Federal Communications Commission,Agency Overall,2024,111,977,984,104
Federal Deposit Insurance Corporation,Agency Overall,2024,178,1028,873,333
Office of Navajo and Hopi Indian Relocation,Agency Overall,2024,1,73,74,0
National Credit Union Administration,Agency Overall,2024,12,409,384,37
National Science Foundation,Agency Overall,2024,803,424,374,853
Millennium Challenge Corporation,Agency Overall,2024,9,81,58,32
Office of National Drug Control Policy,Agency Overall,2024,56,92,49,99
U.S. Interagency Council on Homelessness,Agency Overall,2024,6,37,17,26
Office of Pandemic Preparedness and Response Policy,Agency Overall,2024,0,0,0,0
United States Trade and Development Agency,Agency Overall,2024,13,85,83,15
Selective Service System,Agency Overall,2024,0,73,73,0
Court Services and Offender Supervision Agency,Agency Overall,2024,23,588,596,15
Nuclear Regulatory Commission,Agency Overall,2024,122,664,461,325
Federal Reserve System,Agency Overall,2024,86,1098,1072,112
National Labor Relations Board,Agency Overall,2024,57,2837,2588,306
U.S. Agency for International Development,Agency Overall,2024,432,984,688,728
Department of Transportation,Agency Overall,2024,7576,18345,16080,9841
Social Security Advisory Board,Agency Overall,2024,1,44,44,1
Institute of Museum and Library Services,Agency Overall,2024,0,176,176,0
Federal Maritime Commission,Agency Overall,2024,15,103,75,43
Harry S. Truman Scholarship Foundation,Agency Overall,2024,0,54,23,31
Neighborhood Reinvestment Corporation,Agency Overall,2024,15,47,48,14
Department of Defense,Agency Overall,2024,29656,61858,57662,33852
Federal Mediation and Conciliation Service,Agency Overall,2024,1,100,94,7
Advisory Council on Historic Preservation,Agency Overall,2024,27,153,33,147
Federal Financial Institutions Examination Council,Agency Overall,2024,10,45,48,7
Securities and Exchange Commission,Agency Overall,2024,1436,10811,10985,1262
Office of the Intellectual Property Enforcement Coordinator,Agency Overall,2024,0,43,43,0
Equal Employment Opportunity Commission,Agency Overall,2024,959,18083,18334,708
Administrative Conference of the United States,Agency Overall,2024,0,145,145,0
Appraisal Subcommittee,Agency Overall,2024,5,45,44,6
Office of the Director of National Intelligence,Agency Overall,2024,687,504,390,801
Federal Trade Commission,Agency Overall,2024,94,1938,1919,113
Department of Commerce,Agency Overall,2024,1247,4048,3410,1885
Department of Housing and Urban Development,Agency Overall,2024,790,3324,3102,1012
Gulf Coast Ecosystem Restoration Council,Agency Overall,2024,0,11,11,0
Pension Benefit Guaranty Corporation,Agency Overall,2024,112,2733,2773,72
United States Access Board,Agency Overall,2024,1,42,41,2
Department of the Treasury,Agency Overall,2024,3224,13303,12687,3840
Department of Homeland Security,Agency Overall,2024,203533,911535,894939,220129
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2024,3,65,47,21
United States International Trade Commission,Agency Overall,2024,22,271,173,120
Environmental Protection Agency,Agency Overall,2024,1794,7551,7134,2211
Marine Mammal Commission,Agency Overall,2024,27,57,70,14
Department of Labor,Agency Overall,2024,2367,15833,14856,3344
U.S. Nuclear Waste Technical Review Board,Agency Overall,2024,7,42,1,48
United States Postal Service,Agency Overall,2024,334,4429,4203,560
Occupational Safety and Health Review Commission,Agency Overall,2024,16,242,235,23
Tennessee Valley Authority,Agency Overall,2024,57,262,264,55
Farm Credit Administration,Agency Overall,2024,7,75,75,7
National Railroad Passenger Corporation,Agency Overall,2024,182,738,910,10
Office of Personnel Management,Agency Overall,2024,140,968,783,325
National Endowment for the Humanities,Agency Overall,2024,11,65,62,14
Legal Services Corporation,Agency Overall,2024,5,68,56,17
Inter-American Foundation,Agency Overall,2024,4,53,48,9
Federal Election Commission,Agency Overall,2024,7,351,318,40
Denali Commission,Agency Overall,2024,0,34,34,0
James Madison Memorial Fellowship Foundation,Agency Overall,2024,12,57,15,54
Consumer Product Safety Commission,Agency Overall,2024,276,783,701,358
Presidio Trust,Agency Overall,2024,0,47,46,1
Postal Regulatory Commission,Agency Overall,2024,11,219,216,14
U.S. Department of State,Agency Overall,2024,23920,22306,20775,25451
Federal Housing Finance Agency,Agency Overall,2024,69,217,160,126
Small Business Administration,Agency Overall,2024,1204,6813,7092,925
Federal Mine Safety and Health Review Commission,Agency Overall,2024,11,106,98,19
Office of Government Ethics,Agency Overall,2024,6,165,133,38
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2024,20,49,51,18
National Transportation Safety Board,Agency Overall,2024,139,703,561,281
Department of Veterans Affairs,Agency Overall,2024,16412,105725,119453,2684
United States Institute of Peace,Agency Overall,2024,17,71,21,67
National Mediation Board,Agency Overall,2024,3,66,68,1
Chemical Safety and Hazard Investigation Board,Agency Overall,2024,262,138,261,139
National Archives and Records Administration,Agency Overall,2024,6410,22590,23893,5107
Department of Education,Agency Overall,2024,2162,4560,3119,3603
National Endowment for the Arts,Agency Overall,2024,12,180,155,37
National Council on Disability,Agency Overall,2024,3,64,23,44
National Aeronautics and Space Administration,Agency Overall,2024,81,1560,1459,182
Export-Import Bank of the U.S.,Agency Overall,2024,38,165,159,44
Privacy and Civil Liberties Oversight Board,Agency Overall,2024,28,130,69,89
Defense Nuclear Facilities Safety Board,Agency Overall,2024,15,110,52,73
Farm Credit System Insurance Corporation,Agency Overall,2024,6,51,53,4
United States International Boundary and Water Commission,Agency Overall,2024,56,79,25,110
Office of Management and Budget,Agency Overall,2024,563,994,493,1064
National Capital Planning Commission,Agency Overall,2024,0,41,41,0
Central Intelligence Agency,Agency Overall,2024,4010,4087,2603,5494
Merit Systems Protection Board,Agency Overall,2024,113,219,184,148
Council on Environmental Quality,Agency Overall,2024,34,420,348,106
Commodity Futures Trading Commission,Agency Overall,2024,5,443,430,18
National Indian Gaming Commission,Agency Overall,2024,13,74,83,4
United States African Development Foundation,Agency Overall,2024,14,40,7,47
Office of the United States Trade Representative,Agency Overall,2024,15,136,112,39
Social Security Administration,Agency Overall,2024,461,12582,11354,1689
Armed Forces Retirement Home,Agency Overall,2024,1,35,36,0
General Services Administration,Agency Overall,2024,565,1661,1632,594
Department of the Interior,Agency Overall,2024,5194,8305,8426,5073
Peace Corps,Agency Overall,2024,74,320,331,63
Department of Agriculture,Agency Overall,2024,2777,24722,21113,6386
U.S. Agency for Global Media,Agency Overall,2024,28,173,191,10
Federal Permitting Improvement Steering Council,Agency Overall,2024,1,60,52,9
U.S. Railroad Retirement Board,Agency Overall,2024,9,124,121,12
Federal Retirement Thrift Investment Board,Agency Overall,2024,26,123,116,33
U.S. International Development Finance Corporation,Agency Overall,2024,89,81,45,125
