Agency,FY2018,FY2024,Change,Pct_Change
Privacy and Civil Liberties Oversight Board,6.5,17.0,10.5,161.53846153846155
Securities and Exchange Commission,7.0,4.0,-3.0,-42.857142857142854
Selective Service System,8.0,5.0,-3.0,-37.5
Small Business Administration,7.0,4.0,-3.0,-42.857142857142854
Social Security Administration,5.0,12.0,7.0,140.0
Social Security Advisory Board,4.0,10.0,6.0,150.0
Surface Transportation Board,9.0,8.0,-1.0,-11.11111111111111
Tennessee Valley Authority,7.0,18.0,11.0,157.14285714285714
U.S. Agency for Global Media,28.0,2.0,-26.0,-92.85714285714286
U.S. Agency for International Development,3.0,34.0,31.0,1033.3333333333335
U.S. Commission on Civil Rights,7.0,9.0,2.0,28.57142857142857
U.S. Department of State,401.04,10.0,-391.04,-97.50648314382605
U.S. Nuclear Waste Technical Review Board,4.0,19.0,15.0,375.0
U.S. Railroad Retirement Board,18.0,15.5,-2.5,-13.88888888888889
United States Access Board,9.0,15.0,6.0,66.66666666666666
United States African Development Foundation,12.0,90.0,78.0,650.0
United States Copyright Office,10.0,19.0,9.0,90.0
United States International Boundary and Water Commission,14.0,9.5,-4.5,-32.142857142857146
United States International Trade Commission,18.0,18.0,0.0,0.0
United States Postal Service,4.0,3.0,-1.0,-25.0
United States Trade and Development Agency,62.0,26.5,-35.5,-57.25806451612904
