Agency,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,Total_Exemptions,B5_Share,B7_Share,B5_B7_Share
National Archives and Records Administration,178.0,10,285,12,531,525,3,0.0,215,310,88,28,2.0,1.0,2188.0,0.2426873857404022,0.2943327239488117,0.5370201096892139
Department of Education,0.0,1,17,163,138,1473,765,1.0,1048,1,10,3,0.0,0.0,3620.0,0.03812154696132597,0.5049723756906077,0.5430939226519337
National Aeronautics and Space Administration,0.0,9,36,102,76,223,5,0.0,35,0,15,4,0.0,0.0,505.0,0.1504950495049505,0.11683168316831684,0.26732673267326734
Export-Import Bank of the U.S.,0.0,1,1,26,21,24,4,0.0,5,0,4,1,0.0,0.0,87.0,0.2413793103448276,0.16091954022988506,0.40229885057471265
Office of Management and Budget,0.0,0,0,0,50,65,0,0.0,0,0,0,0,0.0,0.0,115.0,0.43478260869565216,0.0,0.43478260869565216
Central Intelligence Agency,830.0,0,845,0,17,53,0,0.0,5,5,4,0,0.0,0.0,1759.0,0.009664582148948267,0.007959067652075043,0.01762364980102331
Merit Systems Protection Board,0.0,0,1,0,5,43,0,0.0,0,0,1,0,0.0,0.0,50.0,0.1,0.02,0.12
Commodity Futures Trading Commission,0.0,0,5,17,33,51,16,0.0,12,0,12,0,3.0,0.0,149.0,0.2214765100671141,0.2684563758389262,0.4899328859060403
Office of the United States Trade Representative,4.0,0,8,14,32,59,0,0.0,0,0,1,0,0.0,0.0,118.0,0.2711864406779661,0.00847457627118644,0.2796610169491525
Social Security Administration,0.0,8,5,3,6,4016,1,0.0,14,0,4,0,0.0,0.0,4057.0,0.0014789253142716292,0.004683263495193493,0.006162188809465122
General Services Administration,0.0,1,12,212,69,325,7,0.0,37,2,9,69,0.0,0.0,743.0,0.09286675639300135,0.16689098250336473,0.2597577388963661
Department of the Interior,0.0,20,87,250,631,1248,143,3.0,445,18,54,39,0.0,16.0,2954.0,0.21360866621530128,0.23764387271496276,0.45125253893026407
Peace Corps,0.0,5,1,7,32,72,1,0.0,20,5,3,0,0.0,0.0,146.0,0.2191780821917808,0.19863013698630136,0.4178082191780822
Department of Agriculture,0.0,140,387,623,555,2208,78,3.0,658,123,103,50,0.0,2.0,4930.0,0.11257606490872211,0.20588235294117646,0.3184584178498986
U.S. Agency for Global Media,0.0,0,3,9,18,58,1,0.0,2,0,0,0,0.0,0.0,91.0,0.1978021978021978,0.03296703296703297,0.23076923076923078
