field_agency_abbr,field_date_prepared,field_foia_annual_report_yr,field_footnotes_iv,field_footnotes_ix,field_footnotes_va,field_footnotes_vb1,field_footnotes_vb2,field_footnotes_vb3,field_footnotes_via,field_footnotes_vib,field_footnotes_vic1,field_footnotes_vic2,field_footnotes_vic3,field_footnotes_vic4,field_footnotes_vic5,field_footnotes_viia,field_footnotes_viib,field_footnotes_viic1,field_footnotes_viic2,field_footnotes_viic3,field_footnotes_viid,field_footnotes_viie,field_footnotes_viiia,field_footnotes_viiib,field_footnotes_x,field_footnotes_xia,field_footnotes_xib,field_footnotes_xiia,field_footnotes_xiib,field_footnotes_xiic,field_footnotes_xiid1,field_footnotes_xiid2,field_footnotes_xiie1,field_footnotes_xiie2,field_overall_ix_eq_full_emp,field_overall_ix_full_emp,field_overall_ix_lit_costs,field_overall_ix_proc_costs,field_overall_ix_total_costs,field_overall_ix_total_staff,field_overall_req_pend_end_yr,field_overall_req_pend_start_yr,field_overall_req_processed_yr,field_overall_req_received_yr,field_overall_vb1_dup_request,field_overall_vb1_fee_related_re,field_overall_vb1_full_denials_e,field_overall_vb1_full_grants,field_overall_vb1_imp_req_oth_re,field_overall_vb1_no_rec,field_overall_vb1_not_agency_rec,field_overall_vb1_oth,field_overall_vb1_part_grants_de,field_overall_vb1_rec_not_desc,field_overall_vb1_rec_ref_to_an_,field_overall_vb1_req_withdrawn,field_overall_vb1_total,field_overall_vb2_total,field_overall_vb3_ex_1,field_overall_vb3_ex_2,field_overall_vb3_ex_3,field_overall_vb3_ex_4,field_overall_vb3_ex_5,field_overall_vb3_ex_6,field_overall_vb3_ex_7_a,field_overall_vb3_ex_7_b,field_overall_vb3_ex_7_c,field_overall_vb3_ex_7_d,field_overall_vb3_ex_7_e,field_overall_vb3_ex_7_f,field_overall_vb3_ex_8,field_overall_vb3_ex_9,field_overall_via_app_pend_endyr,field_overall_via_app_pend_start,field_overall_via_app_proc_yr,field_overall_via_app_recd_yr,field_overall_vib_affirm_on_app,field_overall_vib_closed_oth_app,field_overall_vib_comp_on_app,field_overall_vib_part_on_app,field_overall_vib_total,field_overall_vic1_ex_1,field_overall_vic1_ex_2,field_overall_vic1_ex_3,field_overall_vic1_ex_4,field_overall_vic1_ex_5,field_overall_vic1_ex_6,field_overall_vic1_ex_7_a,field_overall_vic1_ex_7_b,field_overall_vic1_ex_7_c,field_overall_vic1_ex_7_d,field_overall_vic1_ex_7_e,field_overall_vic1_ex_7_f,field_overall_vic1_ex_8,field_overall_vic1_ex_9,field_overall_vic2_app_denial_ex,field_overall_vic2_dup_req,field_overall_vic2_fee_rel_reas,field_overall_vic2_imp_req_oth,field_overall_vic2_no_rec,field_overall_vic2_not_agency_re,field_overall_vic2_oth,field_overall_vic2_rec_not_desc,field_overall_vic2_rec_refer_ini,field_overall_vic2_req_in_lit,field_overall_vic2_req_withdrawn,field_overall_vic3_total,field_overall_vic4_avg_num_days,field_overall_vic4_high_num_days,field_overall_vic4_low_num_days,field_overall_vic4_med_num_days,field_overall_vic5_date_1,field_overall_vic5_date_10,field_overall_vic5_date_2,field_overall_vic5_date_3,field_overall_vic5_date_4,field_overall_vic5_date_5,field_overall_vic5_date_6,field_overall_vic5_date_7,field_overall_vic5_date_8,field_overall_vic5_date_9,field_overall_vic5_num_day_1,field_overall_vic5_num_day_10,field_overall_vic5_num_day_2,field_overall_vic5_num_day_3,field_overall_vic5_num_day_4,field_overall_vic5_num_day_5,field_overall_vic5_num_day_6,field_overall_vic5_num_day_7,field_overall_vic5_num_day_8,field_overall_vic5_num_day_9,field_overall_viia_comp_avg,field_overall_viia_comp_high,field_overall_viia_comp_low,field_overall_viia_comp_med,field_overall_viia_exp_avg,field_overall_viia_exp_high,field_overall_viia_exp_low,field_overall_viia_exp_med,field_overall_viia_sim_avg,field_overall_viia_sim_high,field_overall_viia_sim_low,field_overall_viia_sim_med,field_overall_viib_comp_avg,field_overall_viib_comp_high,field_overall_viib_comp_low,field_overall_viib_comp_med,field_overall_viib_exp_avg,field_overall_viib_exp_high,field_overall_viib_exp_low,field_overall_viib_exp_med,field_overall_viib_sim_avg,field_overall_viib_sim_high,field_overall_viib_sim_low,field_overall_viib_sim_med,field_overall_viic1_101_120_days,field_overall_viic1_121_140_days,field_overall_viic1_141_160_days,field_overall_viic1_161_180_days,field_overall_viic1_181_200_days,field_overall_viic1_1_20_days,field_overall_viic1_201_300_days,field_overall_viic1_21_40_days,field_overall_viic1_301_400_days,field_overall_viic1_400_up_days,field_overall_viic1_41_60_days,field_overall_viic1_61_80_days,field_overall_viic1_81_100_days,field_overall_viic1_total,field_overall_viic2_101_120_days,field_overall_viic2_121_140_days,field_overall_viic2_141_160_days,field_overall_viic2_161_180_days,field_overall_viic2_181_200_days,field_overall_viic2_1_20_days,field_overall_viic2_201_300_days,field_overall_viic2_21_40_days,field_overall_viic2_301_400_days,field_overall_viic2_400_up_days,field_overall_viic2_41_60_days,field_overall_viic2_61_80_days,field_overall_viic2_81_100_days,field_overall_viic2_total,field_overall_viic3_101_120_days,field_overall_viic3_121_140_days,field_overall_viic3_141_160_days,field_overall_viic3_161_180_days,field_overall_viic3_181_200_days,field_overall_viic3_1_20_days,field_overall_viic3_201_300_days,field_overall_viic3_21_40_days,field_overall_viic3_301_400_days,field_overall_viic3_400_up_days,field_overall_viic3_41_60_days,field_overall_viic3_61_80_days,field_overall_viic3_81_100_days,field_overall_viic3_total,field_overall_viid_comp_avg,field_overall_viid_comp_med,field_overall_viid_comp_pend,field_overall_viid_exp_avg,field_overall_viid_exp_med,field_overall_viid_exp_pend,field_overall_viid_sim_avg,field_overall_viid_sim_med,field_overall_viid_sim_pend,field_overall_viie_date_1,field_overall_viie_date_10,field_overall_viie_date_2,field_overall_viie_date_3,field_overall_viie_date_4,field_overall_viie_date_5,field_overall_viie_date_6,field_overall_viie_date_7,field_overall_viie_date_8,field_overall_viie_date_9,field_overall_viie_num_days_1,field_overall_viie_num_days_10,field_overall_viie_num_days_2,field_overall_viie_num_days_3,field_overall_viie_num_days_4,field_overall_viie_num_days_5,field_overall_viie_num_days_6,field_overall_viie_num_days_7,field_overall_viie_num_days_8,field_overall_viie_num_days_9,field_overall_viiia_avg_days_jud,field_overall_viiia_med_days_jud,field_overall_viiia_num_denied,field_overall_viiia_num_grant,field_overall_viiia_num_jud_w10,field_overall_viiib_avg_days_jud,field_overall_viiib_med_days_jud,field_overall_viiib_num_denied,field_overall_viiib_num_grant,field_overall_x_perc_costs,field_overall_x_total_fees,field_overall_xia_sub_used,field_overall_xib_rec_post_foia,field_overall_xib_rec_post_prog,field_overall_xiia_back_app_end_,field_overall_xiia_back_req_end_,field_overall_xiib_con_during_yr,field_overall_xiib_pend_end_yr,field_overall_xiib_pend_start_yr,field_overall_xiib_proc_start_yr,field_overall_xiic_date_1,field_overall_xiic_date_10,field_overall_xiic_date_2,field_overall_xiic_date_3,field_overall_xiic_date_4,field_overall_xiic_date_5,field_overall_xiic_date_6,field_overall_xiic_date_7,field_overall_xiic_date_8,field_overall_xiic_date_9,field_overall_xiic_num_days_1,field_overall_xiic_num_days_10,field_overall_xiic_num_days_2,field_overall_xiic_num_days_3,field_overall_xiic_num_days_4,field_overall_xiic_num_days_5,field_overall_xiic_num_days_6,field_overall_xiic_num_days_7,field_overall_xiic_num_days_8,field_overall_xiic_num_days_9,field_overall_xiid1_proc_cur_yr,field_overall_xiid1_proc_last_yr,field_overall_xiid1_received_cur,field_overall_xiid1_received_las,field_overall_xiid2_back_cur_yr,field_overall_xiid2_back_prev_yr,field_overall_xiie1_proc_cur_yr,field_overall_xiie1_proc_last_yr,field_overall_xiie1_received_cur,field_overall_xiie1_received_las,field_overall_xiie2_back_cur_yr,field_overall_xiie2_back_prev_yr,id,status,title
PRC,2019-10-29,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0,0.00,15000.00,15000.00,1.00,0,0,15,15,0,0,0,6,0,8,0,0,0,0,0,1,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,18,18,18,18,10,20,3,11,N/A,N/A,N/A,N/A,18,18,18,18,14,20,3,11,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,18,18,0,1,0,11,11,0,7,0.0000,0.00,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,15,53,15,52,0,0,0,1,0,1,0,0,161f0ac1-2db3-4db7-af31-b4d4ab9563e0,True,PRC - 2019 - Annual FOIA Report
USAID,2019-10-22,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,8.90,17,299453.13,4101032.12,4400485.25,25.90,271,285,304,290,0,0,11,40,5,44,2,4,149,3,2,44,304,4,0,3,18,63,25,147,8,2,28,14,17,1,0,0,3,7,17,13,6,5,1,5,17,0,0,0,4,2,5,1,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,2,71.69,405,14,49.5,2019-08-02,N/A,2019-08-27,2019-09-04,N/A,N/A,N/A,N/A,N/A,N/A,40,0,23,18,0,0,0,0,0,0,292,1339,<1,146,1270,1270,1270,1270,6.25,12,<1,6.5,343.92,1339,6,231.5,1270,1270,1270,1270,10.5,12,9,10.5,0,0,0,0,0,3,0,0,0,0,0,0,0,3,17,15,6,6,6,47,25,19,13,93,15,14,16,292,0,0,0,0,0,0,0,0,0,1,0,0,0,1,291,215,266,19,4,3,46,46,1,2015-03-18,2016-02-03,2015-04-20,2015-04-29,2015-10-14,2015-10-21,2015-12-11,2015-12-17,2016-01-07,2016-01-21,1140,919,1117,1094,994,989,954,950,937,928,1.66,1,28,4,32,20.09,2,12,22,0.0000,0.00,0,26,130,2,238,16,1,7,22,2019-09-27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,304,337,290,280,238,273,17,16,13,21,2,4,63df845e-68c0-4dec-bb6b-326088de8b67,True,USAID - 2019 - Annual FOIA Report
FOMC,2019-11-18,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0,0.00,88102.00,88102.00,0.58,0,0,26,26,0,0,1,6,2,1,4,0,2,4,6,0,26,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,45,59,27,47,N/A,N/A,N/A,N/A,4.5,17,<1,1,47.6,59,27,57,N/A,N/A,N/A,N/A,7.2,17,1,3,0,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,13,13,0,1,0.0000,0.00,0,87,32,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,26,13,26,12,0,0,0,1,0,1,0,0,394d9ce8-0f0c-403b-9b32-c1bcba6ba86e,True,FOMC - 2019 - Annual FOIA Report
CFTC,2019-11-13,2019,[],,"[{'value': 'After reviewing its database, CFTC adjusted the number of requests pending as of the start of the Fiscal Year. ', 'format': None, 'processed': '<p>After reviewing its database, CFTC adjusted the number of requests pending as of the start of the Fiscal Year.</p>\n'}]",,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,1.00,2,0.00,201488.07,201488.07,3.00,15,41,164,138,1,9,20,35,3,30,2,7,39,5,0,13,164,7,0,1,12,21,18,31,13,0,7,1,0,0,0,0,0,0,2,2,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10.5,12,9,10.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,138.44,481,<1,64.5,37,68,6,37,78.03,377,<1,36,172.22,481,8,69.5,37,68,6,37,84.46,335,<1,54,4,3,3,3,2,49,10,15,7,0,12,8,4,120,1,0,0,1,1,6,4,8,4,2,2,5,0,34,0,0,0,0,0,1,0,0,0,0,0,1,0,2,151,133,11,N/A,N/A,0,13,13.5,4,2017-11-15,2019-09-09,2018-05-29,2018-10-12,2018-12-21,2019-03-21,2019-03-22,2019-06-21,2019-07-03,2019-08-28,470,15,337,242,194,134,133,69,61,22,18.44,10,6,3,6,57.38,9,9,17,0.0000,0.00,0,0,1,0,8,5,0,1,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,164,121,138,134,8,33,2,1,2,1,0,0,fb032f82-87c3-4d2b-b3fd-e91fe9dde08a,True,CFTC - 2019 - Annual FOIA Report
CO,2019-11-18,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0,0.00,26783.09,26783.09,0.17,10,6,42,46,0,0,0,5,0,9,0,0,2,5,21,0,42,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.8,29,3,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.4,20,5,18,0,0,0,0,0,35,0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.5,241.5,8,N/A,N/A,0,6.5,6.5,2,2017-03-28,2019-09-23,2018-02-12,2018-08-15,2018-09-18,2019-11-05,2019-04-09,2019-05-19,2019-05-21,2019-09-20,631,6,411,282,258,225,121,93,92,7,13,13,2,0,1,N/A,N/A,0,0,0.0000,0.00,0,0,0,1,8,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,42,44,46,41,8,5,0,1,1,1,1,0,06d2770f-6997-438e-96d0-622a91bfbf45,True,CO - 2019 - Annual FOIA Report
CNCS,2019-11-18,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0,0.00,35600.00,35600.00,0.43,8,4,51,55,0,0,4,19,0,6,0,0,20,1,0,1,51,0,0,1,1,2,7,15,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,20,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,150.7,310,21,71,2,2,2,2,15.6,61,<1,13,96.8,310,21,72.5,2,2,2,2,16.4,48,<1,15.5,0,0,0,0,0,32,0,8,0,0,1,1,0,42,0,0,0,0,0,0,0,3,1,0,0,3,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,44.7,29.5,6,N/A,N/A,0,13,13,2,2019-03-26,N/A,2019-06-27,2019-08-14,2019-08-21,2019-09-04,2019-09-11,2019-09-18,2019-09-26,N/A,129,0,65,32,27,18,13,8,2,0,1,1,0,1,1,1,1,0,2,0.0000,0.00,0,0,4515,0,3,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,50,51,55,53,3,3,1,1,1,1,0,0,63382929-b4b8-4fb9-921a-e38f60070b69,True,CNCS - 2019 - Annual FOIA Report
IAF,2019-11-13,2019,"[{'value': 'N/A', 'format': None, 'processed': '<p>N/A</p>\n'}]",,[],,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0,0.00,10000.00,10000.00,0.20,2,1,10,11,0,0,0,5,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.4,49,1,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6,8,1,2,0,0,0,0,0,9,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.5,340.5,2,N/A,N/A,0,N/A,N/A,0,2017-05-25,N/A,2019-05-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,589,0,92,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0.0000,0.00,0,2,72,0,2,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,10,11,11,11,2,1,0,0,0,0,0,0,db440022-c57d-41d8-80f0-ab5eab40cee5,True,IAF - 2019 - Annual FOIA Report
EEOC,2019-11-05,2019,[],,"[{'value': 'After reviewing its database, EEOC adjusted the number of requests pending as of the start of the Fiscal Year for all components except Birmingham, Houston, and WFO. ', 'format': None, 'processed': '<p>After reviewing its database, EEOC adjusted the number of requests pending as of the start of the Fiscal Year for all components except Birmingham, Houston, and WFO.</p>\n'}]",,,,"After reviewing its database, OLC/HQ adjusted the number of appeals pending as of the start of the Fiscal Year. ",,,,,,,,,,,,,,,,,,,,,,,,,,14.23,37,4863.05,4064243.14,4069106.19,51.23,1698,3698,19794,17794,756,36,2044,763,200,1254,144,41,13977,60,148,371,19794,41,0,0,1771,34,13609,4311,2402,0,5984,65,35,2,0,0,40,22,268,286,63,159,34,12,268,0,0,40,1,16,6,19,0,37,0,0,0,0,0,0,9,1,44,13,0,56,6,3,0,27,56,22.5,482,<1,19,2019-07-25,2019-09-10,2019-08-26,2019-09-04,2019-09-05,2019-09-09,2019-09-09,2019-09-09,2019-09-10,2019-09-10,46,14,24,18,17,15,15,15,14,14,79.46,325,<1,47,20,20,20,20,32.82,609,<1,12,76.96,325,<1,36.5,20,20,20,20,37.86,609,<1,16,420,276,265,136,118,12086,460,1878,25,46,915,890,687,18202,36,91,77,69,22,383,142,283,1,0,45,51,84,1284,0,0,0,0,0,1,0,0,0,0,0,0,0,1,80.79,58.5,18,N/A,N/A,0,35.198,17,732,2017-03-17,2018-12-20,2017-07-10,2017-08-15,2017-10-02,2017-12-22,2018-05-04,2018-09-10,2018-10-23,2018-12-18,636,194,557,531,498,442,351,263,233,196,5.89,2,8,1,8,6.11,2,212,19,0.6300,25636.35,0,8,5004,1,205,10,3,0,7,2019-07-29,N/A,2019-09-10,2019-09-30,N/A,N/A,N/A,N/A,N/A,N/A,51,0,14,1,0,0,0,0,0,0,19794,19134,17794,19065,205,2093,268,326,286,318,1,6,c0c7a49a-77a2-4419-8678-1b121554fab1,True,EEOC - 2019 - Annual FOIA Report
USAB,2019-11-7,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,0,0.00,159381.00,159381.00,1.20,8,0,26,34,0,0,2,2,0,5,0,0,12,2,0,3,26,0,0,0,1,1,7,12,1,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,20,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,24,120,1,19,N/A,N/A,N/A,N/A,0,N/A,N/A,0,33,120,8,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,1,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,145,8,N/A,N/A,0,N/A,N/A,0,2019-02-20,n/a,2019-02-22,2019-02-22,2019-02-22,2019-02-22,2019-05-16,2019-06-18,2019-08-05,n/a,146,0,145,145,145,145,86,72,39,0,0,0,0,0,0,N/A,N/A,0,0,0.0400,56.00,0,0,0,0,8,2,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,26,8,34,8,8,0,3,0,3,0,0,0,1c70bf6c-4e3e-4e8d-954e-eb1e0668109e,True,USAB - 2019 - Annual FOIA Report
"OSHRC, for Occupational Safety and Health Review Commission",2019-11-12,2019,[],,[],,,,,,,,,,,,,,Please note that the request requiring 120 days to process necessitated consultations with two federal agencies.  OSHRC received the results of one consultation after 8 days and the results of the other after 81 days.,,,,,,,,,,,,,,,,1.67,0,0.00,235997.55,235997.55,1.67,20,1,70,89,0,0,0,26,0,12,0,0,12,0,0,20,70,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,66.33,120,39,40,N/A,N/A,N/A,N/A,6.24,21,1,4,66.33,120,39,40,N/A,N/A,N/A,N/A,9.03,21,1,8,0,0,0,0,0,66,0,1,0,0,0,0,0,67,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.33,27,3,N/A,N/A,0,2.71,1,17,2019-06-07,2019-09-24,2019-08-21,2019-09-04,2019-09-04,2019-09-20,2019-09-23,2019-09-23,2019-09-25,2019-09-24,79,2,27,18,6,6,5,5,3,2,2,2,1,0,1,N/A,N/A,0,0,0.0900,201.50,0,13,78,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,70,69,89,69,1,0,1,1,1,1,0,0,089f237c-8257-4d00-a5a3-d0dd0ba13833,True,OSHRC - 2019 - Annual FOIA Report
FMSHRC,2019-11-15,2019,[],,[],I'm not sure how to correct this?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0,0.00,125000.00,125000.00,1.00,1,2,65,64,1,0,0,43,2,11,2,0,1,1,0,4,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,5.2,8,1,6,1,1,1,1,1.5,9,<1,1,7.5,8,7,7.5,1,1,1,1,1.7,9,1,1,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,N/A,N/A,0,0,0.2200,271.35,0,200,13,0,0,2,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,65,68,64,65,0,0,0,0,0,0,0,0,227b890c-8fe3-4f2d-82d8-1ba41e516ad1,True,FMSHRC - 2019 - Annual FOIA Report
NCUA,2020-10-28,2020,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,0,5412.00,482952.00,488364.00,2.64,17,19,134,132,0,0,11,32,0,11,1,0,77,0,0,2,134,0,0,7,2,43,26,76,0,0,19,0,2,0,44,0,0,0,4,4,4,0,0,0,4,0,0,1,4,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,19,19,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,27.41,103,1,29,1.33,2,1,1,9.64,20,<1,9.50,27.93,103,1,29,1.50,2,1,1.50,9.96,20,<1,10,0,0,0,0,0,28,0,0,0,0,0,0,0,28,1,0,0,0,0,26,0,68,0,0,7,1,0,103,0,0,0,0,0,3,0,0,0,0,0,0,0,3,24.06,21,17,N/A,N/A,0,N/A,N/A,0,2020-03-27,2020-09-02,2020-08-20,2020-08-20,2020-08-20,2020-08-20,2020-08-20,2020-08-24,2020-08-28,2020-08-31,130,19,28,28,28,28,28,26,22,21,2.33,2,1,2,3,2.50,1,0,6,0.1000,484.50,0,14,480,0,1,3,1,0,2,2020-09-28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0,0,0,0,0,0,0,0,134,148,132,148,1,1,4,2,4,2,0,0,f681b1fb-9942-48f7-bd91-78715eff1c77,True,NCUA - 2020 - Annual FOIA Report
RRB,2019-11-15,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,0,0.00,57461.00,57461.00,3.00,2,9,109,102,2,0,7,87,0,8,4,0,0,0,1,0,109,0,0,0,30,1,0,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,194.71,1338,1,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,250.75,1338,1,23,0,0,0,0,1,90,0,7,2,5,1,2,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,N/A,N/A,0,479.25,380,2,2014-05-07,N/A,2019-06-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1338,0,62,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0.2500,145.00,0,1,0,0,2,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,109,86,102,87,2,9,1,0,1,0,0,0,bc86687d-c045-4b90-8744-8ef9947ff520,True,RRB - 2019 - Annual FOIA Report
